customer_id,region,tenure_months,contract_type,monthly_charges,churn_flag,snapshot_week,source,grain,attribute_provenance
CUST-004,South,30,One year,114.79,1,2026-08-24,customer_master,weekly,"sampled from Telco distribution, attached to real Superstore customer_id"
CUST-009,West,59,Month-to-month,48.25,0,2026-08-24,customer_master,weekly,"sampled from Telco distribution, attached to real Superstore customer_id"
CUST-015,West,5,Month-to-month,107.7,0,2026-08-24,customer_master,weekly,"sampled from Telco distribution, attached to real Superstore customer_id"
CUST-003,East,14,Month-to-month,104.17,0,2026-08-24,customer_master,weekly,"sampled from Telco distribution, attached to real Superstore customer_id"
CUST-002,East,34,Month-to-month,115.13,0,2026-08-24,customer_master,weekly,"sampled from Telco distribution, attached to real Superstore customer_id"
CUST-001,East,45,Two year,59.88,0,2026-08-24,customer_master,weekly,"sampled from Telco distribution, attached to real Superstore customer_id"
CUST-007,South,9,Month-to-month,109.36,0,2026-08-24,customer_master,weekly,"sampled from Telco distribution, attached to real Superstore customer_id"
CUST-006,Central,22,Month-to-month,80.49,0,2026-08-24,customer_master,weekly,"sampled from Telco distribution, attached to real Superstore customer_id"
CUST-008,East,7,Month-to-month,76.21,1,2026-08-24,customer_master,weekly,"sampled from Telco distribution, attached to real Superstore customer_id"
CUST-013,East,26,One year,116.07,0,2026-08-24,customer_master,weekly,"sampled from Telco distribution, attached to real Superstore customer_id"
CUST-014,South,16,One year,76.97,0,2026-08-24,customer_master,weekly,"sampled from Telco distribution, attached to real Superstore customer_id"
CUST-010,South,23,Month-to-month,90.26,0,2026-08-24,customer_master,weekly,"sampled from Telco distribution, attached to real Superstore customer_id"
CUST-011,West,26,One year,92.75,0,2026-08-24,customer_master,weekly,"sampled from Telco distribution, attached to real Superstore customer_id"
CUST-005,Central,26,One year,21.51,0,2026-08-24,customer_master,weekly,"sampled from Telco distribution, attached to real Superstore customer_id"
CUST-012,East,7,One year,56.2,0,2026-08-24,customer_master,weekly,"sampled from Telco distribution, attached to real Superstore customer_id"
